Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Emolent Plus,Glycerol + Liquid Paraffin + White Soft Paraffin,"Square Pharmaceuticals PLC, Pabna",Cream,10 gm + 10 gm + 5 gm/100 gm,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Inhalation Capsule,400 mcg,,,,,,,
Norvent,Tiotropium,"Square Pharmaceuticals PLC, Pabna",Inhalation Capsule,18 mcg,,,,,,,
Secnid,Secnidazole,"Square Pharmaceuticals PLC, Pabna",Suspension,500 mg/10 ml,,,,,,,
Zesup,Zinc,"Square Pharmaceuticals PLC, Pabna",Syrup,10 mg/5 ml,,,,,,,
Trogel,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Gel,750 mg/100 gm,,,,,,,
Amodis-Vet,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Water Soluble Powder,30 gm/100 gm,,,,,,,
Bacide,Tobramycin,"Square Pharmaceuticals PLC, Pabna",Eye Drops,3 mg/ml,,,,,,,
Alatrol,Cetirizine Dihydrochloride,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,2.5 mg/ml,,,,,,,
Phylopen,Flucloxacillin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Sumid,Sulphanilamide,"Square Pharmaceuticals PLC, Pabna",Powder,100%,,,,,,,
Phylopen,Flucloxacillin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Cresac,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Cream,750 mg/100 gm,,,,,,,
Eromycin,Erythromycin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Suppository,50 mg,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Injection,250 mg,,,,,,,
K-One,Phytomenadione,"Square Pharmaceuticals PLC, Pabna",Injection,2 mg/.2 ml,,,,,,,
Prolert,Fluoxetine,"Square Pharmaceuticals PLC, Pabna",Oral Solution,400 mg/100 ml,,,,,,,
Ambrox,Ambroxol,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,6 mg/ml,,,,,,,
Betameson,Betamethasone + Neomycin Sulphate,"Square Pharmaceuticals PLC, Pabna",Ointment,100 mg + 500 mg/100 gm,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,250 mg + 31.25 mg/5 ml,,,,,,,
Salicid 12%,Salicylic Acid,"Square Pharmaceuticals PLC, Pabna",Cream,12 gm/100 gm,,,,,,,
Betameson,Betamethasone + Neomycin Sulphate,"Square Pharmaceuticals PLC, Pabna",Cream,100 mg + 500 mg/100 gm,,,,,,,
Ifacin,Rifampicin,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg,,,,,,,
Neurolin,Pregabalin,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg,,,,,,,
Orili 150,Elagolix,"Square Pharmaceuticals PLC, Pabna",Tablet,150 mg,,,,,,,
Brofex,Dextromethorphan Hydrobromide,"Square Pharmaceuticals PLC, Pabna",Syrup,10 mg/5 ml,,,,,,,
Itra,Itraconazole,"Square Pharmaceuticals PLC, Pabna",Oral Solution,10 mg/ml,,,,,,,
Carpine,Pilocarpine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Eye Drops,1%,,,,,,,
Butefin,Butenafine,"Square Pharmaceuticals PLC, Pabna",Cream,1%,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Injection,1 gm + 200 mg,,,,,,,
Versia,Neostigmine Methyl Sulphate,"Square Pharmaceuticals PLC, Pabna",Injection,500 mcg/ml,,,,,,,
K-One,Phytomenadione,"Square Pharmaceuticals PLC, Pabna",Injection,10 mg/ml,,,,,,,
Prazitel Vet,Praziquantel + Pyrantel,"Square Pharmaceuticals PLC, Pabna",Bolus,18.2 mg + 72.6 mg,,,,,,,
Ticamet 250 Cozycap,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Capsule,250 mcg + 50 mcg,,,,,,,
Tory,Etoricoxib,"Square Pharmaceuticals PLC, Pabna",Tablet,120 mg,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,875 mg + 125 mg,,,,,,,
Norpill,Levo Norgestrel,"Square Pharmaceuticals PLC, Pabna",Tablet,750 mcg,,,,,,,
Lulitop,Luliconazole,"Square Pharmaceuticals PLC, Pabna",Cream,10 mg/gm,,,,,,,
Ticamet,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,125 mcg + 25 mcg/Metered Inhalation,,,,,,,
Gleazy Gel,Glycerine + Hydroxy Ethyl Cellulose,"Square Pharmaceuticals PLC, Pabna",Gel,1.3 gm + 1 gm/50 gm,,,,,,,
Ocucid,Sulphacetamide Sodium,"Square Pharmaceuticals PLC, Pabna",Eye Drops,20 gm/100 ml,,,,,,,
Somna,Zaleplone,"Square Pharmaceuticals PLC, Pabna",Capsule,10 mg,,,,,,,
Somna,Zaleplone,"Square Pharmaceuticals PLC, Pabna",Capsule,5 mg,,,,,,,
Hypnol,Nitrazepam,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Durol CR 10,Carvedilol Phosphate,"Square Pharmaceuticals PLC, Pabna",Cr Capsule,10 mg,,,,,,,
Inflagic,Prednisolone,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Clobam,Clobazam,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Methigic 8,Methyl Prednisolone,"Square Pharmaceuticals PLC, Pabna",Tablet,8 mg,,,,,,,
Antimet,Metoclopramide Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Dibenol,Glibenclamide,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,250 mg/vial,,,,,,,
Suvotol,Suvorexant,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Eye Drops,300 mg/100 ml,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Sr Tablet,1 gm,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,250 mg/5 ml,,,,,,,
Halobet,Halobetasol Propionate,"Square Pharmaceuticals PLC, Pabna",Cream,50 mg/100 gm,,,,,,,
Halobet,Halobetasol Propionate,"Square Pharmaceuticals PLC, Pabna",Ointment,50 mg/100 gm,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,250 mg/5 ml,,,,,,,
Moxaclav-Vet,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Injection,140 mg + 35 mg/ml,,,,,,,
Cozycol 800,Mesalamine,"Square Pharmaceuticals PLC, Pabna",Dr Tablet,800 mg,,,,,,,
Ciprocin Vet,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Bolus,1 gm,,,,,,,
Trilev,Levamisole + Triclabendazole,"Square Pharmaceuticals PLC, Pabna",Bolus,600 mg + 900 mg,,,,,,,
Trilve Vet,Levamisole + Triclabendazole,"Square Pharmaceuticals PLC, Pabna",Bolus,750 mg + 1.2 gm,,,,,,,
Anleptic 200 CR,Carbamazepine,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Repres,Indapamide,"Square Pharmaceuticals PLC, Pabna",Tablet,1.5 mg,,,,,,,
Norpill,Levo Norgestrel,"Square Pharmaceuticals PLC, Pabna",Tablet,1.5 mg,,,,,,,
Orili 200,Elagolix,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Anadol,Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Sr Capsule,100 mg,,,,,,,
Cavir,Entecavir,"Square Pharmaceuticals PLC, Pabna",Oral Solution,5 mg/100 ml,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,500 mg + 125 mg/5 ml,,,,,,,
Bactrocin,Mupirocin,"Square Pharmaceuticals PLC, Pabna",Ointment,100 mg/5 gm,,,,,,,
Anadol,Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Suppository,100 mg,,,,,,,
Endorin,Indomethacin,"Square Pharmaceuticals PLC, Pabna",Capsule,25 mg,,,,,,,
Itra,Itraconazole,"Square Pharmaceuticals PLC, Pabna",Capsule,100 mg,,,,,,,
Neurolin 25,Pregabalin,"Square Pharmaceuticals PLC, Pabna",Capsule,25 mg,,,,,,,
Camlodin,Amlodipine + Atenolol,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 25 mg,,,,,,,
Femastin-1,Estriol,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Cavir,Entecavir,"Square Pharmaceuticals PLC, Pabna",Tablet,.5 mg,,,,,,,
Epitrol,Carbamazepine,"Square Pharmaceuticals PLC, Pabna",Tablet,100 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,500 mg/vial,,,,,,,
Ambrox,Ambroxol,"Square Pharmaceuticals PLC, Pabna",Syrup,15 mg/5 ml,,,,,,,
Cavir,Entecavir,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Clinface,Clindamycin Phosphate + Tretinoin,"Square Pharmaceuticals PLC, Pabna",Gel,1.2 gm + .025 gm/100 gm,,,,,,,
Antimet,Metoclopramide Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Syrup,5 mg/5 ml,,,,,,,
Fluphen,Promethazine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Syrup,5 mg/5 ml,,,,,,,
Methigic 16,Methyl Prednisolone,"Square Pharmaceuticals PLC, Pabna",Tablet,16 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,1 gm/vial,,,,,,,
Closma-Vet Powder,Tylvalosin,"Square Pharmaceuticals PLC, Pabna",Water Soluble Powder,62.5 gm/100 gm,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,125 mg/1.25 ml,,,,,,,
Femastin,Estriol,"Square Pharmaceuticals PLC, Pabna",Cream,100 mg/100 gm,,,,,,,
Anadol,Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Injection,50 mg/ml,,,,,,,
Vori IV,Voriconazole,"Square Pharmaceuticals PLC, Pabna",Injection,200 mg/vial,,,,,,,
Ticamet 50 Inhaler 120 Puf,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,50 mcg + 25 mcg/Metered Inhalation,,,,,,,
Ifacin,Rifampicin,"Square Pharmaceuticals PLC, Pabna",Capsule,450 mg,,,,,,,
Ticamet 100 Cozycap,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Capsule,100 mcg + 50 mcg,,,,,,,
Tory,Etoricoxib,"Square Pharmaceuticals PLC, Pabna",Tablet,90 mg,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mg + 125 mg,,,,,,,
Olmecar Plus,Hydrochlorothiazide + Olmesartan Medoxomil,"Square Pharmaceuticals PLC, Pabna",Tablet,12.5 mg + 20 mg,,,,,,,
Coxitril Vet,Toltrazuril,"Square Pharmaceuticals PLC, Pabna",Suspension,5 gm/100 ml,,,,,,,
Ticalog,Ticagrelor,"Square Pharmaceuticals PLC, Pabna",Tablet,90 mg,,,,,,,
Ultivent-M Cozycap,Glycopyrronium + Indacaterol + Mometasone Furoate,"Square Pharmaceuticals PLC, Pabna",Cozycap,50 mcg + 150 mcg + 160 mcg,,,,,,,
Ocucid,Sulphacetamide Sodium,"Square Pharmaceuticals PLC, Pabna",Eye Drops,10 gm/100 ml,,,,,,,
Piper,Piperazine,"Square Pharmaceuticals PLC, Pabna",Powder,100%,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg + 31.25 mg/5 ml,,,,,,,
Pracort,Hydrocortisone Acetate + Pramoxine,"Square Pharmaceuticals PLC, Pabna",Ointment,2.5 gm + 1 gm/100 gm,,,,,,,
Meclam,Meloxicam,"Square Pharmaceuticals PLC, Pabna",Suppository,15 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Pracort,Hydrocortisone Acetate + Pramoxine,"Square Pharmaceuticals PLC, Pabna",Cream,2.5 gm + 1 gm/100 gm,,,,,,,
Benostar Mouthwash,Benzydamine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Mouth Wash,150 mg/100 ml,,,,,,,
Anadol,Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Capsule,50 mg,,,,,,,
Neurolin,Pregabalin,"Square Pharmaceuticals PLC, Pabna",Capsule,50 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",Capsule,250 mg,,,,,,,
Lebac,Cephradine,"Square Pharmaceuticals PLC, Pabna",Capsule,500 mg,,,,,,,
Ambrox,Ambroxol,"Square Pharmaceuticals PLC, Pabna",Capsule,75 mg,,,,,,,
Neurolin,Pregabalin,"Square Pharmaceuticals PLC, Pabna",Capsule,75 mg,,,,,,,
Mirapro 15 Tablet,Mirtazapine,"Square Pharmaceuticals PLC, Pabna",Tablet,15 mg,,,,,,,
Tory,Etoricoxib,"Square Pharmaceuticals PLC, Pabna",Tablet,60 mg,,,,,,,
Perkirol,Ropinirole,"Square Pharmaceuticals PLC, Pabna",Tablet,2 mg,,,,,,,
Melcam,Meloxicam,"Square Pharmaceuticals PLC, Pabna",Tablet,15 mg,,,,,,,
Incidal,Mebhydrolin,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Tablet,250 mg,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mg,,,,,,,
Methigic 2,Methyl Prednisolone,"Square Pharmaceuticals PLC, Pabna",Tablet,2 mg,,,,,,,
Daizy,Dienogest,"Square Pharmaceuticals PLC, Pabna",Tablet,2 mg,,,,,,,
Methigic 4,Methyl Prednisolone,"Square Pharmaceuticals PLC, Pabna",Tablet,4 mg,,,,,,,
Varcon,Voriconazole,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Femastin-2,Estriol,"Square Pharmaceuticals PLC, Pabna",Tablet,2 mg,,,,,,,
Mebamin,Mebhydrolin,"Square Pharmaceuticals PLC, Pabna",Tablet,50 mg,,,,,,,
Carbisod Injection,Sodium Bicarbonate,"Square Pharmaceuticals PLC, Pabna",IV Infusion,7.5 gm/100 ml,,,,,,,
Melcam,Meloxicam,"Square Pharmaceuticals PLC, Pabna",Suppository,7.5 mg,,,,,,,
Mifenil,Boric Acid + Calcium Gluconate + Dextrose Anhydrous + Magnesium Hypophosphite,"Square Pharmaceuticals PLC, Pabna",Injection,42 mg + 208 mg + 22 mg + 50 mg,,,,,,,
Anleptic,Carbamazepine,"Square Pharmaceuticals PLC, Pabna",Suspension,100 mg/5 ml,,,,,,,
Mirapro 7.5,Mirtazapine,"Square Pharmaceuticals PLC, Pabna",Tablet,7.5 mg,,,,,,,
Camlodin,Amlodipine + Atenolol,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 50 mg,,,,,,,
Perkirol,Ropinirole,"Square Pharmaceuticals PLC, Pabna",Tablet,.25 mg,,,,,,,
Ciprocin,Ciprofloxacin,"Square Pharmaceuticals PLC, Pabna",Tablet,750 mg,,,,,,,
Melcam,Meloxicam,"Square Pharmaceuticals PLC, Pabna",Tablet,7.5 mg,,,,,,,
Dermasol,Clobetasol Propionate + Neomycin Sulphate + Nystatin,"Square Pharmaceuticals PLC, Pabna",Cream,50 mg + 500 mg + 100 Lac IU/100 gm,,,,,,,
Dermasol,Clobetasol Propionate + Neomycin Sulphate + Nystatin,"Square Pharmaceuticals PLC, Pabna",Ointment,50 mg + 500 mg + 100 Lac IU/100 gm,,,,,,,
De-rash Plus,Miconazole Nitrate + White Soft Paraffin + Zinc Oxide,"Square Pharmaceuticals PLC, Pabna",Ointment,250 mg + 81.16 gm + 15 gm/100 gm,,,,,,,
Antimet,Metoclopramide Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Injection,10 mg/2 ml,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Injection,500 mg + 100 mg,,,,,,,
Mesa 400 DR,Mesalamine,"Square Pharmaceuticals PLC, Pabna",Dr Tablet,400 mg,,,,,,,
Anadol,Tramadol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Injection,100 mg/2 ml,,,,,,,
Ticamet 500 Cozycap,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Inhalation Capsule,500 mcg + 50 mcg,,,,,,,
Ticamet,Fluticasone Propionate + Salmeterol,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,250 mcg + 25 mcg/Metered Inhalation,,,,,,,
Carpine,Pilocarpine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Eye Drops,2%,,,,,,,
Carpine,Pilocarpine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Eye Drops,4%,,,,,,,
Prolert,Fluoxetine,"Square Pharmaceuticals PLC, Pabna",Capsule,20 mg,,,,,,,
Coxitril Vet,Toltrazuril,"Square Pharmaceuticals PLC, Pabna",Oral Liquid,2.5 gm/100 ml,,,,,,,
Durol CR 20,Carvedilol Phosphate,"Square Pharmaceuticals PLC, Pabna",Cr Capsule,20 mg,,,,,,,
Moxaclav,Amoxicillin + Clavulanic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,250 gm + 125 mg,,,,,,,
Esbutol,Ethambutol,"Square Pharmaceuticals PLC, Pabna",Tablet,400 mg,,,,,,,
Climycin,Clindamycin,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg,,,,,,,
Fusid,Frusemide + Spironolactone,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg + 50 mg,,,,,,,
Cardipro,Atenolol + Chlorthalidone,"Square Pharmaceuticals PLC, Pabna",Tablet,100 mg + 25 mg,,,,,,,
Nilac,Tretinoin,"Square Pharmaceuticals PLC, Pabna",Gel,25 mg/100 gm,,,,,,,
Burna,Silver Sulphadiazine,"Square Pharmaceuticals PLC, Pabna",Cream,1%,,,,,,,
Glysup 1.15,Glycerol,"Square Pharmaceuticals PLC, Pabna",Suppository,1.15 gm,,,,,,,
Nexum,Esomeprazole,"Square Pharmaceuticals PLC, Pabna",Capsule,40 mg,,,,,,,
Fusid Plus,Frusemide + Spironolactone,"Square Pharmaceuticals PLC, Pabna",Tablet,20 mg + 50 mg,,,,,,,
Fusid,Frusemide,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Nexum,Esomeprazole,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Ostel,Alendronic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,70 mg,,,,,,,
Asynta,Potassium Bicarbonate + Sodium Alginate,"Square Pharmaceuticals PLC, Pabna",Tablet,100 mg + 500 mg,,,,,,,
Canesten,Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Cream,10 gm/gm,,,,,,,
Afun,Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Cream,10 mg/gm,,,,,,,
Virux,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Cream,5 gm/100 gm,,,,,,,
Afun VT 100,Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Cream,10 mg/gm,,,,,,,
Sedil,Diazepam,"Square Pharmaceuticals PLC, Pabna",Suppository,10 mg,,,,,,,
Clopirox,Ciclopirox Olamine,"Square Pharmaceuticals PLC, Pabna",Cream,10 mg/gm,,,,,,,
Climycin,Clindamycin,"Square Pharmaceuticals PLC, Pabna",Injection,600 mg/4 ml,,,,,,,
Virux,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Injection,250 mg/vial,,,,,,,
Otetra,Oxytetracycline,"Square Pharmaceuticals PLC, Pabna",Injection,20 gm/100 ml,,,,,,,
Gigabac 1 M IV/IM Inj,Colistimethate Sodium,"Square Pharmaceuticals PLC, Pabna",Injection,1 MIU/vial,,,,,,,
Clopirox 1% Shampoo,Ciclopirox Olamine,"Square Pharmaceuticals PLC, Pabna",Shampoo,1 gm/100 gm,,,,,,,
LNC 10 Tablet,Cilnidipine,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
LNC 5 Tablet,Cilnidipine,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Torsid 5,Torasemide,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Calboral-D,Calcium (Coral Calcium) + Vitamin,"Square Pharmaceuticals PLC, Pabna",Tablet,D3  500 mg + 200 IU,,,,,,,
Nidipine,Nifedipine,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Sedil,Diazepam,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Simacor,Simvastatin,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Ostel,Alendronic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Cadnyl,Perindopril Erbumine,"Square Pharmaceuticals PLC, Pabna",Tablet,8 mg,,,,,,,
Virux,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Suspension,200 mg/5 ml,,,,,,,
Comet,Metformin Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Xr Tablet,1 gm,,,,,,,
Climycin,Clindamycin,"Square Pharmaceuticals PLC, Pabna",Capsule,300 mg,,,,,,,
Afun VT 200,Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Vaginal Tablet,200 mg,,,,,,,
Cefdir,Cefdinir,"Square Pharmaceuticals PLC, Pabna",Capsule,300 mg,,,,,,,
Flindof 200,Doxophylline,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Tolfem,Tolfenamic Acid,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Rutix,Ofloxacin,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Moxodin 0.2,Moxonidine,"Square Pharmaceuticals PLC, Pabna",Tablet,.2 mg,,,,,,,
Asynta,Potassium Bicarbonate + Sodium Alginate,"Square Pharmaceuticals PLC, Pabna",Suspension,100 mg + 500 mg/5 ml,,,,,,,
Nevira,Nevirapine,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Bisocor Plus,Bisoprolol Hemifumarate + Hydrochlorothiazide,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 6.25 mg,,,,,,,
Virux,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Quinivir,Hydroxychloroquine Sulphate,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Proxivir,Tenofovir Disoproxil Fumarate,"Square Pharmaceuticals PLC, Pabna",Tablet,300 mg,,,,,,,
Zif-A Tablet,Elemental Iron + Folic Acid + Zinc Sulphate Monohydrate,"Square Pharmaceuticals PLC, Pabna",Tablet,48 mg + 500 mcg + 61.8 mg,,,,,,,
Nexum,Esomeprazole,"Square Pharmaceuticals PLC, Pabna",Injection,40 mg/vial,,,,,,,
Virux 500,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Injection,500 mg/vial,,,,,,,
Otetra-Vet,Oxytetracycline,"Square Pharmaceuticals PLC, Pabna",Powder,50 gm/100 gm,,,,,,,
Gynepro,Metronidazole + Neomycin Sulphate + Nystatin + Polymixin B Sulphate,"Square Pharmaceuticals PLC, Pabna",Suppository,200 mg + 35000 IU + 1 Lac IU + 35000 IU,,,,,,,
Canesten,Clotrimazole,"Square Pharmaceuticals PLC, Pabna",Vaginal Tablet,100 mg,,,,,,,
Repran,Repaglinide,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Repran,Repaglinide,"Square Pharmaceuticals PLC, Pabna",Tablet,.5 mg,,,,,,,
Nixalo,Alprazolam,"Square Pharmaceuticals PLC, Pabna",Tablet,.5 mg,,,,,,,
Antista,Chlorpheniramine Maleate,"Square Pharmaceuticals PLC, Pabna",Syrup,2 mg/5 ml,,,,,,,
Alisken Plus 150/12.5,Aliskiren + Hydrochlorothiazide,"Square Pharmaceuticals PLC, Pabna",Tablet,150 mg + 12.5 mg,,,,,,,
Moxodin 0.3,Moxonidine,"Square Pharmaceuticals PLC, Pabna",Tablet,.3 mg,,,,,,,
Angilock,Losartan Potassium,"Square Pharmaceuticals PLC, Pabna",Tablet,100 mg,,,,,,,
Melixol,Flupenthixol + Melitracen,"Square Pharmaceuticals PLC, Pabna",Tablet,500 mcg + 10 mg,,,,,,,
Secrin,Glimepiride,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Angilock,Losartan Potassium,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg,,,,,,,
Dotfix 1 Tablet,Dotinurad,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Virux 1 gm,Acyclovir,"Square Pharmaceuticals PLC, Pabna",Injection,1 gm/vial,,,,,,,
Xripa,Nefopam Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Injection,20 mg/ml,,,,,,,
Comet,Metformin Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Oral Solution,500 mg/5 ml,,,,,,,
Otetra Vet 20,Oxytetracycline,"Square Pharmaceuticals PLC, Pabna",Powder,20 gm/100 gm,,,,,,,
Normo-K,Sodium Polystyrene Sulfonate,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,15 gm,,,,,,,
Dyvon,Calcipotriol,"Square Pharmaceuticals PLC, Pabna",Ointment,.005 gm/100 gm,,,,,,,
Glysup 2.30,Glycerol,"Square Pharmaceuticals PLC, Pabna",Suppository,2.3 gm,,,,,,,
Caron,Ferrous Sulphate + Folic Acid,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg + 500 mcg,,,,,,,
Bisocam 2.5/5,Amlodipine + Bisoprolol Hemifumarate,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg + 2.5 mg,,,,,,,
Cefotil,Cefuroxime,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,750 mg/vial,,,,,,,
Comet,Metformin Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,850 mg,,,,,,,
Dyvon,Calcipotriol,"Square Pharmaceuticals PLC, Pabna",Cream,.5 mg/100 gm,,,,,,,
Anthista,Pheniramine Maleate,"Square Pharmaceuticals PLC, Pabna",Injection,22.75 mg/ml,,,,,,,
Tofenac Vet,Tolfenamic Acid,"Square Pharmaceuticals PLC, Pabna",Injection,4 gm/100 ml,,,,,,,
